Wavelength (µm),Microcline hs108.13749,Wavelength (µm) target,Microcline hs108.13749 target
0.6107,0.735313,1.9432,0.732714
0.6123,0.736025,1.9532,0.7365
0.6139,0.736356,1.9631,0.740832
0.6155,0.735512,1.9731,0.750258
0.6171,0.735278,1.9831,0.754278
0.6187,0.736988,1.9931,0.758904
0.6203,0.740181,2.0031,0.763129
0.6219,0.738837,2.013,0.768611
0.6235,0.735917,2.023,0.771681
0.6251,0.73953,2.033,0.777348
0.6267,0.737903,2.043,0.784409
0.6283,0.739273,2.053,0.781849
0.6299,0.737333,2.0629,0.785304
0.6317,0.742448,2.0729,0.786149
0.6337,0.740311,2.0829,0.788979
0.6357,0.738245,2.0929,0.793945
0.6377,0.741463,2.1029,0.791053
0.6397,0.742191,2.1128,0.796991
0.6417,0.745588,2.1228,0.792966
0.6437,0.742819,2.1328,0.793436
0.6457,0.739905,2.1428,0.795853
0.6477,0.745534,2.1528,0.799677
0.6497,0.744215,2.1628,0.790541
0.6517,0.74613,2.1727,0.794451
0.6537,0.748213,2.1827,0.787249
0.6557,0.744656,2.1927,0.780785
0.6577,0.74721,2.2027,0.778479
0.6597,0.749999,2.2127,0.779457
0.6617,0.750334,2.2226,0.783771
0.6637,0.750455,2.2326,0.776727
0.6657,0.749616,2.2426,0.783008
0.6677,0.754884,2.2526,0.784117
0.6702,0.752361,2.2626,0.784553
0.6732,0.751257,2.2725,0.782411
0.6762,0.755346,2.2825,0.779703
0.6792,0.755975,2.2925,0.783894
0.6822,0.756191,2.3025,0.788544
0.6852,0.754691,2.3125,0.783762
0.6882,0.760398,2.3224,0.784518
0.6912,0.760473,2.3324,0.775733
0.6942,0.761672,2.3424,0.783346
0.6972,0.760619,2.3524,0.776684
0.7002,0.764179,2.3624,0.777764
0.702,0.76298,2.3724,0.780137
0.704,0.763678,2.3823,0.776087
0.706,0.7614,2.4023,0.771015
0.708,0.763815,2.4223,0.768472
0.71,0.766071,2.4422,0.755618
0.712,0.76701,2.4622,0.749507
0.714,0.764123,2.4921,0.746073
0.716,0.765361,2.532,0.732365
0.718,0.768978,2.562,0.730706
0.72,0.767425,2.5919,0.720093
0.722,0.770815,2.6219,0.716854
0.724,0.770029,2.6518,0.697563
0.726,0.769835,2.6917,0.637324
0.728,0.77215,2.7217,0.49951
0.73,0.770509,2.7516,0.355126
0.732,0.77254,2.7816,0.269584
0.734,0.770793,2.8115,0.236953
0.736,0.776816,2.8514,0.2121
0.738,0.769837,2.8814,0.204364
0.74,0.773596,2.9113,0.169525
0.742,0.775312,2.9413,0.188859
0.744,0.777624,2.9712,0.190375
0.746,0.775325,,
0.748,0.772536,,
0.7505,0.775914,,
0.7535,0.776552,,
0.7565,0.775091,,
0.7595,0.775254,,
0.7625,0.774732,,
0.7655,0.777342,,
0.7685,0.775398,,
0.7715,0.774218,,
0.7745,0.778823,,
0.7775,0.777615,,
0.781,0.776531,,
0.785,0.780851,,
0.789,0.78009,,
0.793,0.782025,,
0.797,0.781632,,
0.8015,0.778412,,
0.8065,0.781158,,
0.8115,0.777147,,
0.8165,0.779287,,
0.822,0.776984,,
0.828,0.777712,,
0.835,0.778715,,
0.851,0.780504,,
0.859,0.778136,,
0.871,0.779802,,
0.883,0.777078,,
0.894,0.780799,,
0.904,0.776453,,
0.914,0.775866,,
0.924,0.781379,,
0.933,0.77542,,
0.941,0.781787,,
0.949,0.780698,,
0.957,0.779674,,
0.964,0.782824,,
0.97,0.778797,,
0.976,0.78324,,
0.982,0.780951,,
0.988,0.782461,,
0.994,0.778689,,
1.0,0.782735,,
1.006,0.781302,,
1.012,0.779673,,
1.018,0.780763,,
1.0235,0.783985,,
1.0285,0.778638,,
1.0335,0.777302,,
1.0385,0.778757,,
1.0435,0.78191,,
1.0485,0.778785,,
1.0535,0.778339,,
1.0585,0.781179,,
1.0635,0.779308,,
1.0685,0.78174,,
1.0735,0.779089,,
1.0785,0.780649,,
1.0835,0.781331,,
1.0885,0.776191,,
1.0935,0.776704,,
1.0985,0.776249,,
1.1035,0.781312,,
1.1085,0.777447,,
1.1135,0.779465,,
1.1185,0.777891,,
1.1235,0.776592,,
1.1285,0.778569,,
1.1335,0.778206,,
1.1385,0.775512,,
1.1435,0.775899,,
1.1485,0.778435,,
1.1535,0.776476,,
1.1585,0.779175,,
1.1635,0.77594,,
1.1685,0.775397,,
1.1735,0.777832,,
1.1785,0.777917,,
1.1835,0.779301,,
1.1885,0.775957,,
1.1935,0.778413,,
1.1985,0.775458,,
1.2035,0.776949,,
1.2085,0.776658,,
1.2135,0.779834,,
1.2185,0.774466,,
1.2235,0.776265,,
1.2285,0.779116,,
1.2335,0.77806,,
1.2385,0.777477,,
1.2435,0.783947,,
1.2485,0.781864,,
1.2535,0.779866,,
1.2585,0.779333,,
1.2635,0.778919,,
1.2685,0.780388,,
1.2735,0.780135,,
1.2785,0.781579,,
1.2835,0.777658,,
1.2885,0.779214,,
1.2935,0.779837,,
1.2985,0.779734,,
1.3035,0.782588,,
1.3085,0.780556,,
1.3135,0.780869,,
1.3185,0.780817,,
1.3235,0.782876,,
1.3285,0.783355,,
1.3335,0.780744,,
1.3385,0.777785,,
1.3435,0.784399,,
1.3485,0.779994,,
1.3535,0.781502,,
1.3585,0.778457,,
1.3635,0.777677,,
1.3685,0.780257,,
1.3735,0.783219,,
1.3785,0.785325,,
1.3835,0.782506,,
1.3885,0.776624,,
