Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
1.910153,0.737026,,
1.910857,0.73663,,
1.911561,0.736234,,
1.912266,0.736037,,
1.912972,0.735246,,
1.913678,0.734949,,
1.914385,0.735443,,
1.915092,0.73574,,
1.9158,0.735839,,
1.916508,0.735641,,
1.917217,0.735542,,
1.917926,0.735542,,
1.918636,0.735443,,
1.919346,0.735344,,
1.920057,0.735048,,
1.920768,0.735048,,
1.92148,0.73574,,
1.922193,0.736136,,
1.922906,0.736136,,
1.92362,0.736136,,
1.924333,0.736136,,
1.925048,0.735938,,
1.925763,0.736234,,
1.926479,0.736234,,
1.927195,0.735938,,
1.927912,0.735938,,
1.928629,0.736136,,
1.929346,0.736432,,
1.930065,0.736729,,
1.930784,0.736927,,
1.931503,0.737026,,
1.932223,0.737026,,
1.932943,0.737026,,
1.933664,0.737322,,
1.934386,0.737322,,
1.935108,0.737421,,
1.93583,0.737817,,
1.936554,0.737916,,
1.937277,0.738113,,
1.938002,0.73841,,
1.938726,0.738212,,
1.939452,0.738212,,
1.940177,0.73841,,
1.940904,0.738806,,
1.941631,0.739102,,
1.942358,0.739201,,
1.943086,0.739102,,
1.943815,0.739498,,
1.944544,0.739696,,
1.945274,0.739696,,
1.946004,0.739696,,
1.946735,0.740091,,
1.947466,0.740388,,
1.948198,0.740586,,
1.94893,0.740685,,
1.949663,0.740685,,
1.950397,0.740882,,
1.951131,0.74108,,
1.951865,0.741278,,
1.952601,0.741377,,
1.953336,0.741673,,
1.954073,0.741772,,
1.954809,0.742069,,
1.955547,0.742168,,
1.956285,0.742465,,
1.957023,0.742761,,
1.957762,0.742761,,
1.958502,0.742563,,
1.959242,0.74286,,
1.959983,0.743058,,
1.960724,0.742959,,
1.961466,0.743355,,
1.962208,0.74375,,
1.962951,0.743552,,
1.963695,0.743453,,
1.964439,0.743849,,
1.965183,0.744343,,
1.965929,0.744541,,
1.966674,0.744442,,
1.967421,0.743948,,
1.968168,0.743948,,
1.968915,0.744442,,
1.969663,0.744838,,
1.970412,0.745036,,
1.971161,0.744739,,
1.971911,0.744838,,
1.972661,0.745233,,
1.973413,0.745233,,
1.974164,0.745629,,
1.974916,0.746123,,
1.975669,0.746222,,
1.976422,0.746321,,
1.977176,0.746024,,
1.97793,0.746024,,
1.978685,0.74642,,
1.97944,0.746222,,
1.980196,0.746222,,
1.980953,0.746321,,
1.98171,0.746519,,
1.982468,0.746717,,
1.983226,0.746717,,
1.983986,0.746816,,
1.984745,0.747013,,
1.985505,0.747112,,
1.986266,0.747211,,
1.987027,0.747508,,
1.987789,0.747706,,
1.988552,0.748101,,
1.989315,0.748101,,
1.990078,0.748002,,
1.990842,0.748398,,
1.991607,0.748497,,
1.992373,0.748497,,
1.993139,0.748695,,
1.993905,0.748793,,
1.994673,0.748695,,
1.99544,0.748497,,
1.996209,0.748793,,
1.996978,0.749189,,
1.997747,0.749288,,
1.998517,0.749387,,
1.999288,0.749486,,
2.000059,0.749782,,
2.000831,0.74998,,
2.001604,0.750079,,
2.002377,0.74998,,
2.003151,0.750079,,
2.003925,0.750573,,
2.0047,0.751167,,
2.005476,0.751068,,
2.006252,0.750969,,
2.007029,0.751167,,
2.007806,0.751562,,
2.008584,0.751661,,
2.009362,0.751661,,
2.010141,0.752057,,
2.010921,0.752255,,
2.011701,0.752057,,
