Wavelength (µm) raw,Icelandic pillow lava JB602F raw,Wavelength (µm) bin avg,Icelandic pillow lava JB602F bin avg,Wavelength (µm) cubic spline of bin avg,Icelandic pillow lava JB602F cubic spline of bin avg
0.83,0.12609,1.46408,0.1332291666666667,1.46408,0.1332291666666667
0.835,0.12564,1.47406,0.13409875000000002,1.474060980392157,0.13409883464808495
0.84,0.12532,1.48404,0.13494478260869566,1.4840419607843138,0.13494494689333567
0.845,0.12505,1.49402,0.13576708333333332,1.4940229411764707,0.13576731868560768
0.85,0.12458,1.504,0.13652318181818182,1.5040039215686276,0.13652345867316346
0.855,0.12402,1.51399,0.13719,1.5139849019607845,0.13718966805024796
0.86,0.1237,1.52397,0.1378359090909091,1.5239658823529412,0.13783564822220462
0.865,0.1234,1.53395,0.1384377272727273,1.533946862745098,0.13843754987741066
0.87,0.12245,1.54393,0.13897318181818183,1.543927843137255,0.13897306892967035
0.875,0.1214,1.55391,0.1394604761904762,1.5539088235294118,0.1394604273194146
0.88,0.1206,1.56389,0.1398352380952381,1.5638898039215687,0.1398352301267508
0.885,0.11995,1.57387,0.14026857142857144,1.5738707843137256,0.1402686018728229
0.89,0.11915,1.58385,0.14056904761904765,1.5838517647058825,0.14056909116265148
0.895,0.11801,1.59383,0.14079650000000002,1.5938327450980394,0.14079655813533426
0.9,0.11696,1.60381,0.14099285714285714,1.6038137254901963,0.14099292423490284
0.905,0.1161,1.6138,0.1411415789473684,1.613794705882353,0.1411415234935434
0.91,0.1151,1.62378,0.1412005,1.6237756862745099,0.14120048933528634
0.915,0.1139,1.63376,0.14121263157894737,1.6337566666666667,0.14121262824055222
0.92,0.11314,1.64374,0.14120799999999997,1.6437376470588236,0.1412080099353531
0.925,0.11223,1.65372,0.1411342105263158,1.6537186274509805,0.14113422106722606
0.93,0.11086,1.6637,0.14103722222222223,1.6636996078431374,0.14103722865116872
0.935,0.10956,1.67368,0.14082526315789473,1.6736805882352943,0.14082525162084045
0.94,0.10917,1.68366,0.14064722222222226,1.683661568627451,0.140647187103726
0.945,0.10814,1.69364,0.14037055555555555,1.6936425490196079,0.140370485392806
0.95,0.10715,1.70362,0.14012,1.7036235294117648,0.14011990826569223
0.955,0.10626,1.7136,0.13981529411764704,1.7136045098039216,0.13981513434361453
0.96,0.10553,1.72359,0.13943888888888886,1.7235854901960785,0.13943905544923593
0.965,0.10485,1.73357,0.13908352941176472,1.7335664705882354,0.13908365894219551
0.97,0.1041,1.74355,0.13868000000000003,1.7435474509803923,0.13868011313687992
0.975,0.10367,1.75353,0.13821176470588237,1.7535284313725492,0.1382118397019152
0.98,0.10285,1.76351,0.1377235294117647,1.763509411764706,0.1377235599358684
0.985,0.10268,1.77349,0.13720624999999997,1.7734903921568628,0.13720623161425652
0.99,0.10216,1.78347,0.13677500000000004,1.7834713725490197,0.13677493727055487
0.995,0.10192,1.79345,0.1362625,1.7934523529411766,0.13626237293763957
1.0,0.10152,1.80343,0.135733125,1.8034333333333334,0.13573295339961108
1.005,0.10148,1.81341,0.13521,1.8134143137254903,0.13520975644315383
1.01,0.10127,1.8234,0.134618,1.8233952941176472,0.13461827159194684
1.015,0.10156,1.83338,0.134058125,1.8333762745098041,0.13405834394152394
1.02,0.10161,1.84336,0.13343666666666668,1.8433572549019608,0.1334368377307702
1.025,0.10176,1.85334,0.13281133333333334,1.8533382352941177,0.13281145113361073
1.03,0.1018,1.86332,0.13205666666666666,1.8633192156862746,0.13205673372079885
1.035,0.10191,1.8733,0.1310146666666667,1.8733001960784315,0.13101464091245668
1.04,0.10205,1.88328,0.12951214285714288,1.8832811764705883,0.12951196167190046
1.045,0.10245,1.89326,0.12798199999999998,1.8932621568627452,0.12798164574239285
1.05,0.1028,1.90324,0.1262907142857143,1.9032431372549021,0.12629022054517022
1.055,0.10334,1.91322,0.12498785714285712,1.913224117647059,0.1249874197005649
1.06,0.10397,1.92321,0.12413571428571427,1.923205098039216,0.12413603390115953
1.065,0.10455,1.93319,0.12362714285714285,1.9331860784313726,0.12362730656285123
1.07,0.10489,1.94317,0.12325714285714284,1.9431670588235295,0.12325723678645328
1.075,0.10563,1.95315,0.12296384615384613,1.9531480392156864,0.12296390479409909
1.08,0.10552,1.96313,0.12263142857142857,1.9631290196078433,0.12263146438213884
1.085,0.10627,1.97311,0.12226846153846152,1.9731100000000001,0.1222684615384615
1.09,0.10701,1.98309,0.12197769230769231,1.983090980392157,0.1219776649375783
1.095,0.10789,1.99307,0.12167307692307693,1.993071960784314,0.12167300969273552
1.1,0.1082,2.00305,0.12131538461538463,2.0030529411764704,0.12131528454021033
1.105,0.1089,2.01303,0.12099384615384616,2.0130339215686273,0.12099371366492791
1.11,0.10946,2.02301,0.12062692307692308,2.023014901960784,0.12062673781276358
1.115,0.11044,2.033,0.12025083333333335,2.032995882352941,0.1202509909470646
1.12,0.11081,2.04298,0.11985000000000003,2.042976862745098,0.1198501334093009
1.125,0.11148,2.05296,0.11943,2.052957843137255,0.11943008275099636
1.13,0.11222,2.06294,0.11906,2.0629388235294117,0.11906004881084073
1.135,0.11273,2.07292,0.11859166666666666,2.0729198039215686,0.1185916760152147
1.14,0.11284,2.0829,0.11814833333333331,2.0829007843137255,0.11814830051178887
1.145,0.11366,2.09288,0.11774083333333334,2.0928817647058824,0.11774076152098452
1.15,0.11408,2.10286,0.11732636363636365,2.1028627450980393,0.11732624706958958
1.155,0.11454,2.11284,0.11688083333333332,2.112843725490196,0.11688065461462897
1.16,0.11489,2.12282,0.11638833333333333,2.122824705882353,0.1163881092078228
1.165,0.11527,2.13281,0.11591363636363637,2.13280568627451,0.11591386116301751
1.17,0.11586,2.14279,0.11534545454545454,2.142786666666667,0.11534564542256437
1.175,0.11611,2.15277,0.11476181818181819,2.1527676470588237,0.11476197129128725
1.18,0.11638,2.16275,0.11399545454545455,2.16274862745098,0.11399557567421334
1.185,0.11672,2.17273,0.11304090909090908,2.172729607843137,0.11304094800190032
1.19,0.11721,2.18271,0.11211909090909092,2.182710588235294,0.112119044502377
1.195,0.11752,2.19269,0.11154181818181819,2.192691568627451,0.11154176197552734
1.2,0.11762,2.20267,0.11133181818181818,2.2026725490196077,0.11133178141871765
1.205,0.11813,2.21265,0.111215,2.2126535294117646,0.11121498336011082
1.21,0.11842,2.22263,0.11122818181818182,2.2226345098039215,0.11122819147507591
1.215,0.11905,2.23262,0.111214,2.2326154901960784,0.11121401869606445
1.22,0.11908,2.2426,0.111177,2.2425964705882353,0.11117700332480708
1.225,0.11928,2.25258,0.11120727272727272,2.252577450980392,0.11120725772694813
1.23,0.1192,2.26256,0.111254,2.262558431372549,0.11125399914213027
1.235,0.11932,2.27254,0.11123800000000002,2.272539411764706,0.11123799931300375
1.24,0.11959,2.28252,0.111289,2.282520392156863,0.1112890020791111
1.245,0.11953,2.2925,0.11133199999999999,2.2925013725490198,0.11133200807229349
1.25,0.11995,2.30248,0.11139777777777778,2.3024823529411766,0.11139778689004974
1.255,0.11988,2.31246,0.11142100000000002,2.3124633333333335,0.11142101792910478
1.26,0.12053,2.32244,0.11150799999999998,2.32244431372549,0.11150803343904828
1.265,0.12052,2.33242,0.11155444444444446,2.332425294117647,0.11155446414816086
1.27,0.12067,2.34241,0.111591,2.3424062745098038,0.11159099143150393
1.275,0.12075,2.35239,0.11160555555555557,2.3523872549019607,0.1116055488778821
1.28,0.12107,2.36237,0.11165111111111112,2.3623682352941175,0.11165110045764992
1.285,0.12141,2.37235,0.11169777777777777,2.3723492156862744,0.1116977768830402
1.29,0.12148,2.38233,0.1116922222222222,2.3823301960784313,0.1116922225672618
1.295,0.12199,2.39231,0.11175600000000001,2.392311176470588,0.1117560109684276
1.3,0.12235,2.40229,0.11186,2.402292156862745,0.11186002455098716
1.305,0.12261,2.41227,0.1119488888888889,2.412273137254902,0.11194889869767896
1.31,0.12295,2.42225,0.1119288888888889,2.422254117647059,0.1119288757496693
1.315,0.12313,2.43223,0.11191888888888887,2.432235098039216,0.11191889205712215
1.32,0.12356,2.44222,0.11193222222222222,2.4422160784313727,0.11193221553466783
1.325,0.12394,2.4522,0.11193625000000001,2.452197058823529,0.11193625654799247
1.33,0.12437,2.46218,0.11190333333333334,2.462178039215686,0.11190333623599817
1.335,0.12436,2.47216,0.11193999999999998,2.472159019607843,0.11193999090991988
1.34,0.12449,2.48214,0.11203444444444445,2.48214,0.11203444444444445
1.345,0.12471,2.49212,0.1120275,2.4921209803921567,0.11202750178853513
1.35,0.12494,2.5021,0.11211874999999999,2.5021019607843136,0.11211877793676901
1.3507,0.12495,2.51208,0.11227875,2.5120829411764705,0.11227879915829277
1.351,0.12489,2.52206,0.11244777777777777,2.5220639215686274,0.11244784759652325
1.3513,0.12492,2.53204,0.112655,2.5320449019607842,0.11265512341858619
1.3517,0.12498,2.54203,0.11294625,2.542025882352941,0.11294612133788119
1.3521,0.12496,2.55201,0.113205,2.552006862745098,0.11320495266678263
1.3524,0.12493,2.56199,0.1133,2.561987843137255,0.1132999681682935
1.3528,0.12487,2.57197,0.1134975,2.571968823529412,0.1134974837666811
1.3531,0.12478,2.58195,0.11349375,2.5819498039215687,0.1134937522951798
1.3535,0.12484,2.59193,0.11338375000000002,2.5919307843137256,0.11338374908559035
1.3538,0.12489,2.60191,0.11338999999999999,2.601911764705882,0.11338997385041562
1.3542,0.12494,2.61189,0.1130525,2.611892745098039,0.11305239251511637
1.3545,0.12497,2.62187,0.11250428571428572,2.621873725490196,0.11250393243220075
1.3549,0.12494,2.63185,0.11137,2.6318547058823527,0.11136958892944375
1.3552,0.125,2.64183,0.10995428571428571,2.6418356862745096,0.10995245269515531
1.3556,0.12499,2.65182,0.10360749999999999,2.6518166666666665,0.10361068322973692
1.3559,0.12496,2.6618,0.09318428571428572,2.6617976470588234,0.09318639652438089
1.3563,0.12495,2.67178,0.08673714285714286,2.6717786274509803,0.08673786777545603
1.3567,0.12493,2.68176,0.08122285714285714,2.681759607843137,0.08122308694164733
1.357,0.12491,2.69174,0.07519999999999999,2.691740588235294,0.07519964943183513
1.3574,0.125,2.70172,0.06949285714285715,2.701721568627451,0.06949198468609269
1.3577,0.12496,2.7117,0.06414571428571429,2.711702549019608,0.06414443421256844
1.3581,0.12486,2.72168,0.05938857142857142,2.7216835294117647,0.05938690414799631
1.3584,0.12485,2.73166,0.05456571428571429,2.7316645098039216,0.05456351348441354
1.3588,0.1249,2.74164,0.04993428571428571,2.7416454901960785,0.04993199342592086
1.3592,0.12497,2.75163,0.04630666666666666,2.7516264705882354,0.046307808127666716
