Wavelength (µm) raw,Mauna Iki HI basaltic glass JB388B 150-250 µm raw,Wavelength (µm) bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm bin avg,Wavelength (µm) cubic spline of bin avg,Mauna Iki HI basaltic glass JB388B 150-250 µm cubic spline of bin avg
0.31,0.034761,0.44602,0.0395595,0.44602,0.0395595
0.315,0.03498,0.456,0.040165,0.45600098039215686,0.0401650698910665
0.32,0.035227,0.46598,0.0408875,0.46598196078431375,0.04088763479288257
0.325,0.035601,0.47596,0.0415035,0.47596294117647064,0.04150366494428702
0.33,0.035956,0.48595,0.042065500000000006,0.4859439215686275,0.04206513005085343
0.335,0.03625,0.49593,0.042748499999999995,0.4959249019607843,0.04274812003626282
0.34,0.036473,0.50591,0.043552,0.5059058823529412,0.04355163831760192
0.345,0.036678,0.51589,0.044488,0.5158868627450981,0.044487695689451726
0.35,0.036801,0.52587,0.04546,0.525867843137255,0.0454597892534615
0.355,0.036869,0.53585,0.0463895,0.5358488235294118,0.04638940146295993
0.36,0.036892,0.54583,0.047185,0.5458298039215687,0.04718498317496081
0.365,0.036941,0.55581,0.0481855,0.5558107843137255,0.04818558854409741
0.37,0.037011,0.56579,0.049321500000000004,0.5657917647058823,0.04932168503227531
0.375,0.037099,0.57577,0.050144499999999995,0.5757727450980392,0.05014465525437275
0.38,0.037182,0.58576,0.050577,0.5857537254901961,0.05057671026160393
0.385,0.037281,0.59574,0.0512185,0.595734705882353,0.05121806903279276
0.39,0.037414,0.60572,0.0522375,0.6057156862745099,0.05223695089540149
0.395,0.037591,0.6157,0.053655,0.6156966666666667,0.053654527382227306
0.4,0.037766,0.62568,0.054734500000000005,0.6256776470588236,0.054734367784605185
0.405,0.037943,0.63566,0.054792,0.6356586274509805,0.054792033895160644
0.41,0.038123,0.64564,0.0545485,0.6456396078431372,0.05454850521634342
0.415,0.038217,0.65562,0.054574,0.6556205882352941,0.05457400727583037
0.42,0.038309,0.6656,0.054608500000000004,0.665601568627451,0.0546084715399884
0.425,0.038473,0.67558,0.054276500000000005,0.6755825490196079,0.054276425466288206
0.43,0.038647,0.68556,0.05423,0.6855635294117648,0.05423007536803713
0.435,0.038809,0.69555,0.054653,0.6955445098039216,0.054652687690812156
0.44,0.039059,0.70553,0.055158,0.7055254901960785,0.05515786491949964
0.445,0.039414,0.71551,0.055152,0.7155064705882352,0.05515209398445466
0.45,0.039705,0.72549,0.0547905,0.7254874509803921,0.05479058632310782
0.455,0.03997,0.73547,0.0545365,0.735468431372549,0.05453653597913958
0.46,0.04036,0.74545,0.054286,0.7454494117647059,0.05428601531930873
0.465,0.040755,0.75543,0.0539925,0.7554303921568628,0.053992485718037
0.47,0.04102,0.76541,0.053558999999999996,0.7654113725490197,0.05355893573741561
0.475,0.041337,0.77539,0.0530835,0.7753923529411766,0.053083383414262816
0.48,0.04167,0.78537,0.052572999999999995,0.7853733333333334,0.052572828734861764
0.485,0.041922,0.79536,0.052083000000000004,0.7953543137254901,0.05208325895263335
0.49,0.042209,0.80534,0.0516565,0.805335294117647,0.05165669679707905
0.495,0.04257,0.81532,0.051238,0.8153162745098039,0.05123815346036064
0.5,0.042927,0.8253,0.050829,0.8252972549019608,0.05082911573710151
0.505,0.043323,0.83528,0.050397,0.8352782352941177,0.05039707582272539
0.51,0.043781,0.84526,0.049972,0.8452592156862746,0.049972034187739496
0.515,0.04425,0.85524,0.04953,0.8552401960784315,0.04952999151037874
0.52,0.044726,0.86522,0.049056,0.8652211764705883,0.04905593108849642
0.525,0.045202,0.8752,0.048509,0.875202156862745,0.04850893676971231
0.53,0.045718,0.88518,0.048345,0.8851831372549019,0.04834488119822152
0.535,0.046189,0.89517,0.04762715789473684,0.8951641176470588,0.04762765253185995
0.54,0.04659,0.90515,0.04690833333333334,0.9051450980392157,0.046908615025635585
0.545,0.046976,0.91513,0.04660442857142857,0.9151260784313726,0.04660440324601975
0.55,0.047394,0.92511,0.04672166666666666,0.9251070588235295,0.04672173883720534
0.555,0.047885,0.93509,0.04614164285714284,0.9350880392156864,0.046141735714828054
0.56,0.048486,0.94507,0.04617275862068966,0.9450690196078432,0.04617271063946459
0.565,0.049063,0.95505,0.0466171724137931,0.95505,0.0466171724137931
0.57,0.04958,0.96503,0.046091888888888884,0.9650309803921568,0.04609183859809082
0.575,0.050003,0.97501,0.04587214285714286,0.9750119607843137,0.04587211684766535
0.58,0.050286,0.98499,0.045636423076923074,0.9849929411764706,0.0456363272998679
0.585,0.050456,0.99497,0.04522257692307693,0.9949739215686275,0.045222373964503876
0.59,0.050698,1.00496,0.044957230769230756,1.0049549019607844,0.04495705011277477
0.595,0.05103,1.01494,0.04555724000000001,1.0149358823529413,0.04555719622046739
0.6,0.051407,1.02492,0.04505652,1.0249168627450982,0.045056670542766346
0.605,0.051925,1.0349,0.044990999999999996,1.0348978431372549,0.0449909761281296
0.61,0.05255,1.04488,0.044937125,1.0448788235294117,0.04493716286711281
0.615,0.053308,1.05486,0.044664130434782616,1.0548598039215686,0.04466412662301464
0.62,0.054002,1.06484,0.04499143478260868,1.0648407843137255,0.044991411832933814
0.625,0.054627,1.07482,0.04418627272727272,1.0748217647058824,0.04418619143627304
0.63,0.054842,1.0848,0.04436345454545454,1.0848027450980393,0.044363522650376463
0.635,0.054936,1.09478,0.0443100909090909,1.0947837254901962,0.04431003136145484
0.64,0.054648,1.10477,0.04425552380952381,1.104764705882353,0.04425548843732783
0.645,0.054567,1.11475,0.044350095238095244,1.1147456862745098,0.04435008964691293
0.65,0.05453,1.12473,0.0442633,1.1247266666666667,0.044263331684681655
0.655,0.054573,1.13471,0.0442009,1.1347076470588235,0.04420091911538818
0.66,0.054575,1.14469,0.04405935,1.1446886274509804,0.04405937649249461
0.665,0.054687,1.15467,0.0438901052631579,1.1546696078431373,0.04389010843617317
0.67,0.05453,1.16465,0.04387763157894737,1.1646505882352942,0.04387762983730359
0.675,0.054316,1.17463,0.04384626315789474,1.174631568627451,0.043846273754745244
0.68,0.054237,1.18461,0.04394605263157895,1.184612549019608,0.04394604373680931
0.685,0.054175,1.19459,0.04381088888888889,1.1945935294117647,0.04381087671904625
0.69,0.054285,1.20458,0.043947294117647064,1.2045745098039216,0.043947197358883
0.695,0.054509,1.21456,0.043983277777777774,1.2145554901960784,0.04398334648875646
0.7,0.054797,1.22454,0.04383876470588236,1.2245364705882353,0.04383872684956627
0.705,0.055086,1.23452,0.0440975294117647,1.2345174509803922,0.04409751251062928
0.71,0.05523,1.2445,0.043851352941176466,1.2444984313725491,0.04385140537798411
0.715,0.055213,1.25448,0.043684625000000005,1.254479411764706,0.043684623254349055
0.72,0.055091,1.26446,0.04380105882352941,1.264460392156863,0.0438010613456136
0.725,0.054903,1.27444,0.043813374999999995,1.2744413725490196,0.043813388736910125
0.73,0.054678,1.28442,0.04399559999999999,1.2844223529411765,0.043995628286086996
0.735,0.054584,1.2944,0.04395693750000001,1.2944033333333334,0.04395688763963427
0.74,0.054489,1.30438,0.043864333333333325,1.3043843137254902,0.04386436935924038
0.745,0.054361,1.31437,0.04410380000000001,1.3143652941176471,0.04410367928270931
0.75,0.054211,1.32435,0.04418960000000001,1.324346274509804,0.044189649266333675
0.755,0.054083,1.33433,0.04404742857142858,1.334327254901961,0.0440474002133186
0.76,0.053902,1.34431,0.04435019999999999,1.3443082352941178,0.0443501644575546
