Wavelength (µm) raw,Haleakala tephra JB395B 45-125 raw,Wavelength (µm) bin avg,Haleakala tephra JB395B 45-125 bin avg,Wavelength (µm) cubic spline of bin avg,Haleakala tephra JB395B 45-125 cubic spline of bin avg
0.64,0.17481,1.12473,0.19578,1.1247266666666667,0.1957798368713549
0.645,0.17678,1.13471,0.19630999999999998,1.1347076470588235,0.19630990207940974
0.65,0.17849,1.14469,0.19655499999999998,1.1446886274509804,0.19655497586936546
0.655,0.18035,1.15467,0.19667,1.1546696078431373,0.19667000145793692
0.66,0.18186,1.16465,0.196555,1.1646505882352942,0.1965549984088084
0.665,0.18394,1.17463,0.19669999999999999,1.174631568627451,0.19670003696151483
0.67,0.18545,1.18461,0.196935,1.184612549019608,0.19693505781993403
0.675,0.18731,1.19459,0.19713,1.1945935294117647,0.19713005279643006
0.68,0.18897,1.20458,0.19726,1.2045745098039216,0.19725991692895029
0.685,0.19076,1.21456,0.19738,1.2145554901960784,0.19738000167190695
0.69,0.19205,1.22454,0.197275,1.2245364705882353,0.19727503214463266
0.695,0.19398,1.23452,0.19727,1.2345174509803922,0.1972699905006485
0.7,0.19541,1.2445,0.197305,1.2444984313725491,0.19730499495744958
0.705,0.19684,1.25448,0.197415,1.254479411764706,0.19741498411714978
0.71,0.19831,1.26446,0.19774999999999998,1.264460392156863,0.19775000884030058
0.715,0.19961,1.27444,0.19777,1.2744413725490196,0.19776998563626066
0.72,0.20047,1.28442,0.19768,1.2844223529411765,0.19767999594057237
0.725,0.20133,1.2944,0.19781500000000002,1.2944033333333334,0.19781510303794514
0.73,0.20162,1.30438,0.19816,1.3043843137254902,0.1981600965641975
0.735,0.20251,1.31437,0.198165,1.3143652941176471,0.19816507177941362
0.74,0.20275,1.32435,0.19813999999999998,1.324346274509804,0.19813987859156393
0.745,0.20299,1.33433,0.198595,1.334327254901961,0.19859496130249912
0.75,0.20278,1.34431,0.198395,1.3443082352941178,0.19839502165237394
0.755,0.20265,1.35429,0.19844333333333333,1.3542892156862745,0.19844334166263913
0.76,0.20263,1.36427,0.1981942857142857,1.3642701960784314,0.19819428462047062
0.765,0.20209,1.37425,0.1982842857142857,1.3742511764705883,0.19828426821355913
0.77,0.20197,1.38423,0.19792142857142858,1.3842321568627451,0.19792139200053074
0.775,0.20145,1.39421,0.19808166666666668,1.394213137254902,0.19808173514816618
0.78,0.20084,1.40419,0.19814285714285715,1.404194117647059,0.19814284144512245
0.785,0.20029,1.41418,0.19816666666666663,1.4141750980392158,0.1981665738136465
0.79,0.19975,1.42416,0.19853714285714288,1.4241560784313727,0.1985369603789158
0.795,0.1987,1.43414,0.1989466666666667,1.4341370588235294,0.1989465802251346
0.8,0.19897,1.44412,0.19921833333333336,1.4441180392156863,0.19921825355049022
0.805,0.19783,1.4541,0.19965833333333335,1.4540990196078432,0.19965831199232945
0.81,0.19671,1.46408,0.19965000000000002,1.46408,0.19965000000000002
0.815,0.19647,1.47406,0.19994166666666666,1.474060980392157,0.19994172094232465
0.82,0.1957,1.48404,0.20049833333333333,1.4840419607843138,0.20049839520284563
0.825,0.19454,1.49402,0.20055500000000004,1.4940229411764707,0.20055500812865334
0.83,0.19456,1.504,0.20072,1.5040039215686276,0.20072009427201487
0.835,0.19408,1.51399,0.20103200000000002,1.5139849019607845,0.20103177380732426
0.84,0.19342,1.52397,0.20146333333333333,1.5239658823529412,0.201463243415473
0.845,0.19313,1.53395,0.20160499999999995,1.533946862745098,0.20160487273059252
0.85,0.19257,1.54393,0.20221999999999998,1.543927843137255,0.2022199066015381
0.855,0.19174,1.55391,0.20232,1.5539088235294118,0.20231999861165356
0.86,0.19075,1.56389,0.20240500000000003,1.5638898039215687,0.2024049985111336
0.865,0.19025,1.57387,0.20249199999999998,1.5738707843137256,0.20249201580472914
0.87,0.19016,1.58385,0.20280399999999998,1.5838517647058825,0.20280405602546503
0.875,0.19024,1.59383,0.202998,1.5938327450980394,0.20299801359394962
0.88,0.1902,1.60381,0.203016,1.6038137254901963,0.20301604530253411
0.885,0.1906,1.6138,0.20327200000000004,1.613794705882353,0.20327184802702422
0.89,0.19037,1.62378,0.203444,1.6237756862745099,0.20344399300429958
0.895,0.18931,1.63376,0.20345400000000002,1.6337566666666667,0.20345393486013807
0.9,0.18859,1.64374,0.20379399999999998,1.6437376470588236,0.20379394026696532
0.905,0.18819,1.65372,0.2038925,1.6537186274509805,0.20389248525798281
0.91,0.1877,1.6637,0.204082,1.6636996078431374,0.2040819928538954
0.915,0.18745,1.67368,0.20422200000000004,1.6736805882352943,0.2042220090687007
0.92,0.18825,1.68366,0.20440000000000003,1.683661568627451,0.20440002463126042
0.925,0.18849,1.69364,0.20457,1.6936425490196079,0.20457006725169047
0.93,0.18923,1.70362,0.20483249999999997,1.7036235294117648,0.20483253098291676
0.935,0.18955,1.7136,0.204766,1.7136045098039216,0.20476598821203196
0.94,0.18984,1.72359,0.2049,1.7235854901960785,0.2048999010850228
0.945,0.18966,1.73357,0.2050425,1.7335664705882354,0.2050425071466017
0.95,0.19013,1.74355,0.20498,1.7435474509803923,0.2049799738990419
0.955,0.19009,1.75353,0.205242,1.7535284313725492,0.20524196704106104
0.96,0.19018,1.76351,0.205305,1.763509411764706,0.2053049979899373
0.965,0.19056,1.77349,0.20542999999999997,1.7734903921568628,0.20543000856302523
0.97,0.19088,1.78347,0.20564,1.7834713725490197,0.2056400136424033
0.975,0.19122,1.79345,0.2056475,1.7934523529411766,0.20564750889265287
0.98,0.19126,1.80343,0.20579750000000002,1.8034333333333334,0.20579757433412466
0.985,0.19178,1.81341,0.2059825,1.8134143137254903,0.20598253330773403
0.99,0.19211,1.8234,0.2060325,1.8233952941176472,0.2060324180433379
0.995,0.19248,1.83338,0.20637,1.8333762745098041,0.20636985450628753
1.0,0.19262,1.84336,0.20657333333333336,1.8433572549019608,0.20657336365825985
1.005,0.19339,1.85334,0.206325,1.8533382352941177,0.20632501473591028
1.01,0.19373,1.86332,0.2064875,1.8633192156862746,0.2064874853903697
1.015,0.19385,1.8733,0.206485,1.8733001960784315,0.20648499645785726
1.02,0.19423,1.88328,0.20612666666666665,1.8832811764705883,0.20612660215300807
1.025,0.19457,1.89326,0.2053025,1.8932621568627452,0.20530224534210628
1.03,0.19461,1.90324,0.20397666666666667,1.9032431372549021,0.20397629268133538
1.035,0.19479,1.91322,0.20329,1.913224117647059,0.2032899588699683
1.04,0.19493,1.92321,0.20362249999999998,1.923205098039216,0.2036222418690705
1.045,0.19508,1.93319,0.20412666666666668,1.9331860784313726,0.20412646749863717
1.05,0.19495,1.94317,0.20461666666666667,1.9431670588235295,0.20461654008229554
1.055,0.19495,1.95315,0.20508500000000002,1.9531480392156864,0.20508487227762265
1.06,0.19518,1.96313,0.20575000000000002,1.9631290196078433,0.20574996365442852
1.065,0.19528,1.97311,0.20582666666666669,1.9731100000000001,0.20582666666666669
1.07,0.19529,1.98309,0.2061925,1.983090980392157,0.20619255667754888
