Step Size,Wavelength (µm),"Strip 325 330, morning/midday, lat 30 - Back","Strip 325 330, morning/midday, lat 30","Strip 325 330, morning/midday, lat 0 - Back","Strip 325 330, morning/midday, lat 0","Strip 325 330, morning/midday, lat -30 - Back","Strip 325 330, morning/midday, lat -30","Strip 295 305, morning/midday, lat 60 - Back","Strip 295 305, morning/midday, lat 60","Strip 295 305, morning/midday, lat 30 - Back","Strip 295 305, morning/midday, lat 30","Strip 295 305, morning/midday, lat 0 - Back","Strip 295 305, morning/midday, lat 0","Strip 295 305, morning/midday, lat -30 - Back","Strip 295 305, morning/midday, lat -30","Strip 240 250, morning/midday, lat 60 - Back","Strip 240 250, morning/midday, lat 60","Strip 240 250, morning/midday, lat 30 - Back","Strip 240 250, morning/midday, lat 30","Back = Strip 240 250, morning/midday, lat -30"
0.02,1.0898,-0.058278,0.92562,-0.057608,0.92629,0.038308,1.0222,0.047141,1.031,-0.026404,0.95749,-0.078116,0.90578,0.021119,1.005,-0.0082307,0.97566,0.0099822,0.99388,0.98389
0.0199,1.1098,-0.053712,0.92468,-0.046089,0.93231,0.046493,1.0249,0.046238,1.0246,-0.02938,0.94902,-0.073208,0.90519,0.020677,0.99907,-0.001637,0.97676,0.012929,0.99133,0.9784
0.02,1.1297,-0.055507,0.92482,-0.036559,0.94377,0.041999,1.0223,0.047177,1.0275,-0.022359,0.95797,-0.064923,0.9154,0.020716,1.001,-0.007406,0.97292,0.012603,0.99293,0.98033
0.0199,1.1497,-0.053538,0.92864,-0.033675,0.94851,0.03829,1.0205,0.042554,1.0247,-0.020868,0.96131,-0.057628,0.92455,0.02184,1.004,-0.010123,0.97206,0.010185,0.99237,0.98218
0.02,1.1696,-0.054275,0.92884,-0.030081,0.95303,0.039718,1.0228,0.043598,1.0267,-0.020644,0.96247,-0.052363,0.93075,0.020124,1.0032,-0.012315,0.9708,0.01198,0.99509,0.98311
0.02,1.1896,-0.049572,0.93076,-0.020495,0.95984,0.041965,1.0223,0.045301,1.0256,-0.014906,0.96543,-0.050972,0.92936,0.019844,1.0002,-0.010894,0.96944,0.010221,0.99055,0.98033
0.0199,1.2096,-0.048725,0.93419,-0.023032,0.95989,0.034603,1.0175,0.045783,1.0287,-0.01217,0.97075,-0.051525,0.93139,0.016677,0.99959,-0.0066948,0.97622,0.014122,0.99704,0.98292
0.02,1.2295,-0.054362,0.93096,-0.024078,0.96124,0.03815,1.0235,0.039556,1.0249,-0.014628,0.97069,-0.050787,0.93453,0.016257,1.0016,-0.012287,0.97303,0.0067592,0.99208,0.98532
0.02,1.2495,-0.051126,0.93853,-0.02572,0.96393,0.03712,1.0268,0.039573,1.0292,-0.024655,0.965,-0.047396,0.94226,0.016625,1.0063,-0.012729,0.97692,0.0085025,0.99815,0.98965
0.0199,1.2695,-0.049867,0.93717,-0.019695,0.96734,0.045496,1.0325,0.035827,1.0229,-0.018101,0.96893,-0.046531,0.9405,0.013381,1.0004,-0.0077522,0.97928,0.0088954,0.99593,0.98703
