Wavelength (µm) M3 targeted images,,"average every 4 channels, step n",,"average every 4 channels, step n, sort",,"average every 4 channels, step n, sort, round 0.0001",,Wavelength (µm) M3 global images,,difference
1.4741,,1.489025,,,,,,,,
1.484,,,,,,,,,,
1.494,,1.509,,,,,,,,
1.504,,,,,,,,,,
1.514,,1.528975,,,,,,,,
1.524,,,,,,,,,,
1.534,,1.548925,,,,,,,,
1.5439,,,,,,,,,,
1.5539,,,,,,,,,,
1.5639,,1.578875,step 3,,,,,,,
1.5739,,,,,,,,,,
1.5839,,,,,,,,,,
1.5938,,,,,,,,,,
1.6038,,1.6188,step 4,,,,,,,
1.6138,,,,,,,,,,
1.6238,,,,,,,,,,
1.6338,,,,,,,,,,
1.6437,,,,,,,,,,
1.6537,,1.6587,step 5,,,,,,,
1.6637,,,,,,,,,,
1.6737,,,,,,,,,,
1.6837,,,,,,,,,,
1.6936,,1.698625,step 4,,,,,,,
1.7036,,,,,,,,,,
1.7136,,,,,,,,,,
1.7236,,,,,,,,,,
1.7336,,1.738575,,,,,,,,
1.7436,,,,,,,,,,
1.7535,,,,,,,,,,
1.7635,,,,,,,,,,
1.7735,,1.7785,,,,,,,,
1.7835,,,,,,,,,,
1.7935,,,,,,,,,,
1.8034,,,,,,,,,,
1.8134,,1.8184,,,,,,,,
1.8234,,,,,,,,,,
1.8334,,,,,,,,,,
1.8434,,,,,,,,,,
1.8533,,1.858325,,,,,,,,
1.8633,,,,,,,,,,
1.8733,,,,,,,,,,
1.8833,,,,,,,,,,
1.8933,,1.89825,,,,,,,,
1.9032,,,,,,,,,,
1.9132,,,,,,,,,,
1.9232,,,,,,,,,,
1.9332,,1.9382,,,,,,,,
1.9432,,,,,,,,,,
1.9532,,,,,,,,,,
1.9631,,,,,,,,,,
1.9731,,1.9781,,,,,,,,
1.9831,,,,,,,,,,
1.9931,,,,,,,,,,
2.0031,,,,,,,,,,
2.013,,2.018025,,,,,,,,
2.023,,,,,,,,,,
2.033,,,,,,,,,,
2.043,,,,,,,,,,
2.053,,2.05795,,,,,,,,
2.0629,,,,,,,,,,
2.0729,,,,,,,,,,
2.0829,,,,,,,,,,
2.0929,,2.097875,,,,,,,,
2.1029,,,,,,,,,,
2.1128,,,,,,,,,,
2.1228,,,,,,,,,,
2.1328,,2.1378,,,,,,,,
2.1428,,,,,,,,,,
2.1528,,,,,,,,,,
2.1628,,,,,,,,,,
2.1727,,2.177725,,,,,,,,
2.1827,,,,,,,,,,
2.1927,,,,,,,,,,
2.2027,,,,,,,,,,
2.2127,,2.21765,,,,,,,,
2.2226,,,,,,,,,,
2.2326,,,,,,,,,,
2.2426,,,,,,,,,,
2.2526,,2.257575,,,,,,,,
2.2626,,,,,,,,,,
2.2725,,,,,,,,,,
2.2825,,,,,,,,,,
2.2925,,2.2975,,,,,,,,
2.3025,,,,,,,,,,
2.3125,,,,,,,,,,
2.3224,,,,,,,,,,
2.3324,,2.3374,,,,,,,,
2.3424,,,,,,,,,,
2.3524,,,,,,,,,,
2.3624,,,,,,,,,,
2.3724,,2.37735,,,,,,,,
2.3823,,,,,,,,,,
2.3923,,,,,,,,,,
2.4023,,,,,,,,,,
2.4123,,2.417275,,,,,,,,
2.4223,,,,,,,,,,
2.4322,,,,,,,,,,
2.4422,,,,,,,,,,
2.4522,,2.4572,,,,,,,,
2.4622,,,,,,,,,,
2.4722,,,,,,,,,,
2.4821,,,,,,,,,,
2.4921,,2.4971,,,,,,,,
2.5021,,,,,,,,,,
2.5121,,,,,,,,,,
2.5221,,,,,,,,,,
2.532,,2.537025,,,,,,,,
2.542,,,,,,,,,,
2.552,,,,,,,,,,
2.562,,,,,,,,,,
